#Table: J/A+A/693/A69/ngc1904.dat (http://cdsarc.cds.unistra.fr)
------------------------------------------------------------------------------------------------------------
                   |              |     |      |     |      |      |      |       |      |      |  e_[|
            GaiaDR3| RAdeg   DEdeg| pmRA|  pmDE|Bp-Rp|  Gmag|  gmag|   g-r|     RV|  e_RV|[Fe/H]|Fe/H]|Pmemb
-------------------|--------------|-----|------|-----|------|------|------|-------|------|------|-----|-----
2957895907481574400|81.104 -24.870|2.445|-1.127|0.711|19.544| 0.272|19.816|205.160| 6.007|-2.508|0.535|0.775
2957939651729098752|81.030 -24.566|2.574|-1.574|1.227|14.504| 0.693|15.210|207.580| 0.664|-1.370|0.012|0.989
2957989400330136832|80.963 -24.418|2.341|-1.597|0.774|18.982| 0.345|19.311|209.795| 2.962|-1.738|0.176|0.980
2958540702332043264|81.865 -23.248|2.365|-1.455|0.865|18.851| 0.495|19.305|207.331| 5.594|-1.696|0.465|0.921
2958601935683680000|80.723 -23.726|2.457|-1.549|0.851|18.704| 0.434|19.108|207.234| 3.453|-1.607|0.182|0.987
2957934738286530688|81.031 -24.633|2.441|-1.637|0.943|17.690| 0.512|18.163|205.437| 1.150|-1.520|0.063|0.995
2957939686088825472|81.039 -24.558|2.508|-1.536|1.542|13.022| 1.144|14.232|210.836| 0.661|-1.106|0.007|0.875
2957944943128920064|81.233 -24.463|2.768|-1.600|0.626|19.410| 0.273|19.685|206.844| 6.250|-2.362|0.268|0.894
2957989469049599616|80.928 -24.437|2.338|-1.653|0.623|19.785| 0.275|20.065|219.664|16.169|-2.329|0.397|0.836
2957989679507575936|80.944 -24.399|2.529|-1.639|1.044|16.192| 0.597|16.740|204.357| 0.702|-1.559|0.024|0.997
2958012043397782016|80.840 -24.255|2.630|-1.572|0.727|19.063| 0.321|19.376|218.289| 6.761|-1.766|0.372|0.834
2958141236013405056|79.530 -24.254|2.410|-1.323|0.670|19.397| 0.281|19.675|214.891| 7.954|-2.022|0.407|0.812
2958299806206812800|80.161 -23.466|2.354|-1.356|0.726|19.412| 0.272|19.676|211.433| 8.292|-1.236|0.425|0.710
2963646391952428416|85.043 -22.825|2.857|-2.049|0.766|19.382| 0.334|19.701|204.910| 5.548|-1.275|0.307|0.832
2957088664085954304|81.738 -25.379|2.413|-1.555|1.024|16.957| 0.578|17.489|205.540| 1.384|-1.638|0.102|0.993
2957935283741970816|81.121 -24.627|2.462|-1.410|0.898|18.179| 0.499|18.640|207.411| 1.594|-1.484|0.089|0.982
2957939754808252416|81.087 -24.557|2.422|-1.715|1.205|14.695| 0.750|15.371|201.818| 0.669|-1.345|0.014|0.882
2957945973920339072|81.135 -24.508|2.471|-1.617|1.111|15.409| 0.649|16.011|208.930| 0.681|-1.675|0.019|0.999
2957028530246887296|80.852 -25.485|2.432|-1.732|0.619|19.600| 0.255|19.863|213.938| 7.772|-1.798|0.583|0.854
2957906730799136000|80.894 -24.903|2.461|-1.885|0.706|19.469| 0.276|19.742|195.121| 5.625|-1.948|0.443|0.607
2957939853587771776|81.107 -24.548|2.598|-2.080|0.718|19.739| 0.278|19.937|208.800|12.055|-1.976|0.470|0.682
2957946042639822336|81.099 -24.505|2.445|-1.609|1.357|13.778| 0.890|14.596|209.614| 0.664|-1.294|0.013|0.990
2957990053165074048|80.765 -24.503|2.293|-1.183|0.652|19.112| 0.300|19.399|211.058| 4.504|-1.607|0.216|0.722
2957939995326436992|81.059 -24.552|2.415|-1.703|1.392|13.595| 0.911|14.472|205.913| 0.662|-1.121|0.008|0.814
2957946210138952320|81.137 -24.479|2.565|-1.530|0.913|18.567| 0.448|18.990|204.123| 1.850|-1.755|0.115|0.990
2957990156244301568|80.778 -24.492|2.528|-1.856|0.697|19.952| 0.286|20.235|194.470|15.543|-1.916|0.441|0.755
2956589550228991616|79.070 -24.976|2.342|-1.829|0.819|18.645| 0.439|19.051|198.589| 4.730|-2.169|0.283|0.914
2957031382105174400|80.775 -25.477|2.405|-1.875|0.741|19.393| 0.269|19.664|193.164|13.397|-1.916|0.534|0.697
2957908895462730624|80.952 -24.801|2.437|-1.331|0.651|19.504| 0.270|19.744|201.305| 5.621|-1.761|0.472|0.855
2957935975237105792|81.075 -24.640|2.523|-1.743|0.951|17.722| 0.513|18.194|204.610| 1.191|-1.458|0.064|0.978
2957946248798246656|81.105 -24.482|2.449|-1.684|1.037|16.225| 0.587|16.765|207.082| 0.836|-1.603|0.050|0.997
2957990499841730176|80.825 -24.458|2.516|-1.276|0.589|19.914| 0.290|20.196|198.945| 9.689|-1.913|0.381|0.828
2957498094728486784|82.551 -24.773|2.475|-1.743|0.873|18.976| 0.379|19.335|206.189| 8.511|-1.922|0.383|0.952
2957946351877448960|81.186 -24.482|2.514|-1.461|0.760|19.112| 0.308|19.414|215.010|11.415|-1.785|0.289|0.932
2958377051196024320|81.106 -24.186|2.627|-1.873|0.627|19.275| 0.284|19.552|201.749| 3.732|-1.782|0.266|0.928
2957091580366068608|81.799 -25.294|2.697|-1.921|0.693|19.807| 0.312|20.115|213.974| 6.781|-2.125|0.449|0.863
2957940231545362944|81.078 -24.504|2.458|-1.671|1.365|13.705| 0.907|14.528|206.335| 0.665|-1.333|0.015|0.990
2957946381937637888|81.160 -24.483|2.391|-1.347|0.646|19.437| 0.266|19.709|197.641| 7.325|-2.263|0.334|0.848
2957992458346861824|80.858 -24.397|2.568|-1.151|0.621|19.681| 0.270|19.947|211.693| 6.832|-1.478|0.343|0.732
2964596881097037056|82.518 -22.508|2.560|-1.604|0.690|17.926| 0.289|18.216|198.448| 4.461|-1.748|0.315|0.988
2956186166900331264|78.865 -26.065|2.392|-1.568|0.916|18.404| 0.469|18.840|208.448| 6.298|-2.213|0.580|0.964
2957091889603726080|81.795 -25.257|2.477|-1.592|0.963|18.666| 0.520|19.144|207.170| 2.018|-1.924|0.125|0.990
2957911060126246400|80.760 -24.800|2.833|-1.659|0.703|19.413| 0.273|19.678|205.929| 4.708|-1.557|0.276|0.864
2957936280174392192|81.075 -24.617|2.566|-1.184|0.674|19.699| 0.274|19.970|205.385|10.258|-2.660|0.502|0.824
2957940235844058240|81.081 -24.519|2.521|-1.566|1.096|15.659| 0.641|16.223|209.199| 0.737|-1.497|0.033|0.997
2958380551591154048|81.151 -24.031|2.245|-1.764|0.706|19.620| 0.276|19.888|215.310|17.108|-1.753|0.360|0.761
2955717465709201664|77.481 -27.348|2.437|-1.534|0.958|17.286| 0.526|17.770|194.530| 2.279|-1.759|0.258|0.988
2956979567619049856|80.533 -25.956|2.621|-1.571|0.786|18.882| 0.364|19.223|225.498| 8.903|-2.500|0.563|0.745
2957681880671167360|82.707 -24.046|2.657|-1.623|0.799|18.781| 0.406|19.161|200.053| 4.744|-1.383|0.352|0.853
2957936353194214144|81.069 -24.599|2.465|-1.526|0.924|18.050| 0.491|18.494|207.623| 2.158|-1.641|0.142|0.995
2957940368983341056|80.986 -24.550|2.540|-1.604|0.931|17.733| 0.498|18.157|210.699| 1.005|-1.353|0.048|0.977
2957946725534319744|81.168 -24.457|2.601|-1.189|0.691|19.305| 0.277|19.576|215.298| 6.946|-1.833|0.286|0.751
2957992905023475840|80.906 -24.361|2.662|-1.533|0.675|19.724| 0.263|19.982|201.504| 9.237|-2.220|0.393|0.904
2958382372657272704|81.339 -24.056|2.330|-1.421|0.643|19.687| 0.281|19.959|202.331| 7.733|-2.432|0.337|0.895
2958611861350552064|80.824 -23.517|2.385|-1.511|0.626|19.469| 0.270|19.736|213.916|11.291|-1.799|0.315|0.904
2961351466369428480|78.789 -23.287|2.438|-1.808|0.719|19.116| 0.307|19.416|190.698| 5.153|-1.320|0.334|0.783
2957940407643345024|81.007 -24.550|2.427|-1.564|1.086|15.726| 0.640|16.293|202.780| 0.685|-1.500|0.018|0.994
2957946867273543040|81.082 -24.490|2.497|-1.615|1.338|13.873| 0.916|14.681|208.417| 0.665|-1.312|0.013|0.993
2958155460945106304|79.601 -24.125|2.625|-1.628|0.659|19.509| 0.264|19.772|194.393|10.306|-1.967|0.367|0.879
2958309426932559744|81.585 -24.391|2.946|-1.899|0.764|19.783| 0.337|20.080|201.754| 3.707|-1.611|0.246|0.709
2958383609607891712|81.495 -24.000|2.621|-1.266|0.526|19.998| 0.302|20.283|194.403| 6.498|-2.073|0.439|0.642
2958662095288150528|80.515 -23.388|2.481|-1.391|0.737|19.017| 0.346|19.348|221.790|15.248|-1.273|0.349|0.695
2955653148576640000|77.913 -27.515|2.528|-1.904|0.666|19.227| 0.313|19.522|185.553|15.512|-1.658|0.596|0.695
2956891129949765504|82.182 -25.444|2.820|-1.834|0.745|19.284| 0.297|19.573|210.110| 9.536|-2.059|0.373|0.796
2957856771739607040|80.362 -24.978|2.427|-1.432|0.830|18.768| 0.437|19.165|215.554| 2.271|-1.827|0.234|0.760
2957936451973099008|81.136 -24.601|2.678|-1.628|0.658|19.455| 0.271|19.730|200.883| 6.525|-1.934|0.334|0.915
2957940437703742848|81.017 -24.540|2.416|-1.661|1.108|15.354| 0.680|15.951|200.191| 0.692|-1.552|0.023|0.966
2957946935993019264|81.071 -24.478|2.346|-1.704|1.010|16.626| 0.554|17.105|204.457| 1.056|-1.773|0.068|0.981
2957983563474043136|80.501 -24.406|2.265|-1.029|0.608|19.943| 0.239|20.199|200.978| 6.550|-2.307|0.414|0.752
2957993768316434432|80.883 -24.337|2.494|-1.588|0.985|17.146| 0.546|17.646|205.322| 0.923|-1.493|0.043|0.997
2958385744209788800|81.325 -24.010|2.538|-1.466|0.654|19.290| 0.297|19.585|209.228| 3.456|-1.770|0.299|0.969
2957912881192420352|80.855 -24.757|2.710|-1.571|0.702|19.391| 0.281|19.666|216.040| 6.849|-1.411|0.419|0.760
2957940441999373440|81.025 -24.543|2.363|-1.637|0.692|19.181| 0.317|19.387|210.314| 5.251|-1.463|0.187|0.949
2957947073432782208|81.081 -24.459|2.505|-1.610|1.147|15.180| 0.689|15.813|205.902| 0.691|-1.531|0.021|0.998
2957994176333760512|81.045 -24.433|2.403|-1.571|0.811|18.774| 0.413|19.162|208.669| 2.554|-1.656|0.113|0.990
2957914633539167360|80.871 -24.670|2.400|-1.792|0.724|19.784| 0.287|20.071|202.517|11.328|-2.219|0.490|0.869
2957940579442041984|80.977 -24.536|2.450|-1.547|1.132|15.249| 0.670|15.865|204.569| 0.673|-1.526|0.016|0.997
2957985899936967040|80.911 -24.570|2.539|-1.523|1.012|16.713| 0.553|17.224|207.569| 0.785|-1.571|0.038|0.996
2957994451211680128|81.021 -24.413|2.797|-1.787|0.816|18.850| 0.392|19.222|207.443| 2.765|-1.632|0.152|0.851
2957936933009509760|81.122 -24.547|2.346|-1.787|0.937|18.597| 0.457|19.018|204.605| 2.078|-1.459|0.132|0.949
2957940643861273344|80.965 -24.531|2.475|-1.620|0.964|17.468| 0.515|17.934|207.913| 1.301|-1.424|0.073|0.994
2957947210870931712|81.041 -24.464|2.533|-1.564|1.105|15.476| 0.653|16.071|199.991| 0.692|-1.551|0.023|0.975
2957994657370122624|81.039 -24.387|2.484|-1.674|0.941|17.700| 0.507|18.168|205.632| 1.304|-1.638|0.070|0.996
2958665840499729920|80.823 -23.295|2.386|-1.614|0.918|17.983| 0.497|18.440|211.493| 2.353|-1.523|0.156|0.926
2957940712581271936|80.998 -24.517|2.719|-1.662|0.786|18.931| 0.375|19.233|209.268| 4.770|-1.947|0.171|0.948
2957947240931136896|81.055 -24.451|2.446|-1.721|0.965|17.633| 0.512|18.102|205.950| 1.585|-1.590|0.091|0.993
2957986307953557632|80.908 -24.536|2.174|-1.505|0.679|19.098| 0.298|19.392|207.875| 3.666|-1.448|0.162|0.882
2957994696029339008|81.078 -24.416|2.457|-1.663|0.969|17.028| 0.538|17.523|202.992| 0.826|-1.741|0.041|0.995
2955735027833133440|77.979 -27.181|2.664|-1.610|1.061|16.238| 0.626|16.808|194.282| 1.162|-1.402|0.096|0.939
2957919723081079424|81.086 -24.835|2.582|-1.607|1.024|16.402| 0.576|16.933|203.954| 0.742|-1.778|0.054|0.992
2957940716880965760|81.009 -24.521|2.521|-1.633|1.234|14.408| 0.739|15.122|205.280| 0.666|-1.331|0.013|0.991
