#Table: J/A+A/693/A69/ngc1904.dat (http://cdsarc.cds.unistra.fr)
------------------------------------------------------------------------------------------------------------
                   |              |     |      |     |      |      |      |       |      |      |  e_[|
2957947275290870016|81.074 -24.455|2.397|-1.579|0.682|19.384| 0.261|19.662|188.117|19.949|-1.917|0.252|0.847
2957986617191192960|80.839 -24.542|2.598|-2.056|0.616|19.865| 0.270|20.136|207.488| 5.469|-2.043|0.244|0.890
2956204313139724928|79.576 -26.322|2.471|-1.608|0.765|18.614| 0.381|18.967|212.727|10.364|-1.222|0.601|0.895
2957937620204165888|80.985 -24.639|2.740|-1.882|0.701|19.186| 0.289|19.470|214.295|16.937|-1.865|0.323|0.670
2957940991758293760|81.075 -24.504|2.492|-1.499|1.442|13.258| 0.923|14.143|212.807| 0.662|-1.306|0.008|0.916
2957986758931114880|80.806 -24.552|2.557|-1.762|0.728|19.554| 0.264|19.819|209.239| 5.276|-1.851|0.354|0.942
2957994897887528064|81.091 -24.383|2.348|-1.823|0.723|19.110| 0.305|19.405|201.239| 3.824|-1.785|0.242|0.929
2957159269051337728|81.452 -25.035|2.504|-1.787|0.700|19.153| 0.296|19.444|202.042| 4.582|-1.879|0.384|0.912
2957941021819348992|81.040 -24.498|2.615|-1.485|1.608|12.851| 1.192|13.940|205.197| 0.661|-1.208|0.019|0.654
2957986926428860032|80.804 -24.523|2.420|-1.816|0.581|19.471| 0.270|19.745|217.629| 6.132|-1.888|0.420|0.805
2958164428837176448|80.288 -24.441|2.440|-1.672|0.754|19.271| 0.287|19.550|218.210| 5.155|-2.234|0.361|0.762
2958209238233533568|80.785 -23.940|2.436|-1.003|0.544|19.927| 0.280|20.211|198.713| 6.071|-1.716|0.233|0.804
2957051138953914240|81.712 -25.567|2.687|-1.520|0.767|19.348| 0.286|19.631|199.421|13.286|-1.601|0.599|0.720
2957103370053938816|81.802 -25.065|2.442|-1.320|0.970|18.252| 0.545|18.756|207.986| 1.700|-1.716|0.130|0.962
2957522142247943936|82.773 -24.446|2.307|-1.497|0.860|18.666| 0.447|19.082|220.352| 4.750|-1.531|0.242|0.680
2957941060477775616|81.059 -24.495|2.601|-1.585|1.071|15.812| 0.638|16.373|207.343| 0.689|-1.633|0.021|0.994
2957947760626726400|81.094 -24.417|2.460|-1.522|1.040|16.194| 0.592|16.736|204.885| 0.728|-1.563|0.028|0.997
2957987579263890816|80.953 -24.525|2.557|-1.335|0.919|18.303| 0.477|18.731|206.278| 1.813|-1.511|0.087|0.952
2961302611119315840|79.948 -23.411|2.132|-1.819|0.796|19.485| 0.272|19.743|207.668| 7.587|-2.351|0.576|0.714
2957938032521063552|80.995 -24.599|2.712|-1.856|0.845|18.804| 0.412|19.186|205.677| 3.725|-1.662|0.171|0.891
2957941124898510336|81.017 -24.502|2.540|-1.613|1.560|12.935| 1.020|14.027|204.395| 0.661|-1.135|0.004|0.934
2957987579263894784|80.964 -24.519|2.490|-1.530|0.940|18.001| 0.483|18.449|206.296| 2.726|-1.667|0.124|0.995
2957995688162285312|81.009 -24.358|2.690|-2.032|0.738|19.696| 0.275|19.970|209.548| 9.548|-1.634|0.377|0.726
2958404775206855552|81.084 -23.771|2.619|-2.111|0.666|19.502| 0.269|19.765|201.807| 5.357|-2.316|0.274|0.735
2957923051675041664|81.146 -24.700|2.240|-1.571|0.617|19.322| 0.275|19.596|203.302| 3.861|-1.577|0.367|0.898
2957941163557550848|80.996 -24.501|2.489|-1.528|1.086|15.717| 0.637|16.296|204.388| 0.710|-1.546|0.024|0.997
2958278541825679104|80.496 -23.646|2.386|-1.634|0.912|18.186| 0.491|18.629|207.348| 1.570|-1.595|0.099|0.988
2958324751375907072|81.351 -24.299|2.502|-1.911|0.751|19.872| 0.289|20.164|208.087| 6.956|-2.081|0.343|0.911
2957941335355678976|81.041 -24.474|2.376|-1.673|1.168|15.003| 0.708|15.639|201.882| 0.672|-1.484|0.014|0.964
2957948894499348480|81.242 -24.367|2.229|-1.653|0.627|19.408| 0.268|19.679|207.573| 6.925|-2.097|0.313|0.924
2957987785422357120|80.976 -24.492|2.656|-1.448|0.748|19.548| 0.268|19.805|212.772| 7.379|-2.307|0.376|0.909
2957996791974635008|81.137 -24.317|2.548|-1.477|0.632|19.580| 0.270|19.846|206.057| 6.425|-1.906|0.373|0.944
2958280397251585920|80.220 -23.679|2.442|-1.569|1.040|15.126| 0.595|15.673|208.922| 0.833|-1.883|0.053|0.993
2958325026253823488|81.323 -24.277|2.551|-1.605|0.739|19.026| 0.348|19.361|210.119| 4.797|-2.079|0.266|0.979
2958583720723885312|80.876 -23.917|2.948|-1.266|0.666|19.639| 0.327|19.956|205.347| 6.533|-1.955|0.328|0.630
2963508948701219456|84.379 -23.356|2.782|-1.858|0.646|19.266| 0.271|19.542|204.527| 8.133|-2.282|0.373|0.942
2963913637700447360|84.530 -22.237|2.779|-2.018|0.665|19.226| 0.298|19.515|203.582| 5.067|-1.795|0.291|0.961
2957941747672522624|81.194 -24.575|2.460|-1.553|0.929|18.019| 0.500|18.478|203.086| 1.705|-1.593|0.081|0.992
2957987819782074368|80.923 -24.510|2.448|-1.590|0.884|18.575| 0.461|18.999|210.533| 1.842|-1.522|0.088|0.986
2957997715386093952|81.062 -24.306|2.490|-1.623|0.973|18.218| 0.490|18.671|206.701| 1.721|-1.462|0.078|0.993
2958326125765466240|81.283 -24.239|2.647|-1.600|0.658|19.893| 0.288|20.174|200.383| 7.775|-1.532|0.378|0.823
2955679090176920448|78.572 -27.201|2.117|-1.900|0.506|19.474| 0.327|19.665|191.924| 8.316|-2.298|0.599|0.628
2957938689656451584|80.936 -24.612|2.441|-1.506|0.948|18.162| 0.492|18.615|206.742| 2.907|-1.472|0.135|0.989
2957949856565987584|81.238 -24.329|2.060|-1.949|0.679|20.011| 0.289|20.302|208.526| 9.350|-1.755|0.561|0.614
2957987922861309056|80.934 -24.493|2.590|-1.627|0.821|18.905| 0.358|19.247|205.765| 4.888|-2.012|0.346|0.978
2957172738068377344|81.501 -24.770|2.277|-1.659|0.738|19.165| 0.309|19.468|211.340| 3.326|-2.362|0.200|0.911
2957928892830073856|81.375 -24.627|2.386|-1.355|0.650|19.488| 0.275|19.760|212.967| 5.784|-1.716|0.335|0.904
2957939033254033280|80.957 -24.573|2.495|-1.670|1.021|16.594| 0.573|17.118|203.820| 0.839|-1.553|0.048|0.995
2957987922861320320|80.927 -24.484|2.401|-1.825|0.826|18.851| 0.391|19.209|210.207| 8.584|-1.665|0.212|0.936
2958282351459137408|80.348 -23.615|2.202|-1.666|0.728|19.047| 0.334|19.365|218.000|14.837|-1.655|0.433|0.619
2957929683104636160|81.253 -24.607|2.490|-1.662|1.008|16.687| 0.565|17.207|207.535| 0.832|-1.474|0.036|0.996
2957939063313269760|80.964 -24.559|2.372|-1.877|0.679|19.371| 0.267|19.639|210.939|12.855|-1.584|0.409|0.805
2957942503586768128|81.172 -24.562|2.501|-1.515|0.972|17.321| 0.527|17.811|208.805| 0.962|-1.579|0.041|0.996
2957987991580803456|80.957 -24.479|2.686|-1.836|0.712|19.651| 0.270|19.916|211.059| 8.536|-1.824|0.412|0.855
2957998814898481152|80.935 -24.347|2.418|-1.646|0.629|19.589| 0.270|19.857|197.379| 8.949|-2.159|0.433|0.902
2955743716550016128|78.162 -27.033|2.567|-1.745|0.777|18.438| 0.437|18.832|202.739| 6.395|-1.110|0.256|0.833
2957112780325132416|81.224 -25.386|2.483|-1.526|0.780|19.654| 0.304|19.952|236.433|19.700|-2.226|0.614|0.675
2957821621727607424|80.023 -25.298|2.479|-1.391|0.736|19.273| 0.275|19.549|192.857| 9.612|-1.680|0.950|0.693
2957939101973307392|80.937 -24.571|2.428|-1.412|1.038|16.253| 0.585|16.789|207.904| 0.727|-1.629|0.031|0.971
2957942636726084608|81.208 -24.544|2.778|-1.536|0.710|19.739| 0.273|20.022|200.273| 6.761|-1.622|0.519|0.760
2957998986697180800|80.962 -24.324|2.267|-0.937|0.552|20.018| 0.286|20.300|215.655|10.385|-1.982|0.301|0.618
2957175899163743872|81.519 -24.665|2.533|-1.564|0.924|18.583| 0.460|18.999|203.910| 2.053|-1.724|0.108|0.988
2957930232859880960|81.293 -24.571|2.378|-1.808|0.751|19.383| 0.275|19.657|205.639| 4.783|-1.929|0.310|0.955
2957939205052506880|81.045 -24.596|2.391|-1.541|1.210|14.647| 0.731|15.327|204.515| 0.670|-1.468|0.019|0.993
2957988270758293760|81.019 -24.459|2.551|-1.591|1.006|16.710| 0.564|17.224|208.686| 0.801|-1.552|0.034|0.996
2961390533392297600|79.407 -22.941|2.447|-1.791|0.760|19.051| 0.293|19.341|198.417|10.339|-1.330|0.405|0.856
2957933260817901568|81.101 -24.718|2.413|-1.393|0.967|17.399| 0.524|17.881|207.612| 1.000|-1.556|0.063|0.972
2957939269471650944|81.035 -24.594|2.434|-1.559|0.951|17.695| 0.521|18.174|211.732| 1.963|-1.629|0.107|0.992
2957942808524776576|81.139 -24.543|2.401|-1.387|0.709|19.036| 0.317|19.339|205.835|15.964|-1.337|0.238|0.780
2958000670323610752|80.941 -24.231|2.650|-1.991|0.825|18.860| 0.386|19.221|207.586| 3.450|-1.657|0.151|0.873
2963584196527895296|84.659 -23.531|2.527|-1.345|0.712|19.482| 0.284|19.762|194.429|18.179|-1.887|0.489|0.618
2957114223434188416|81.235 -25.312|2.791|-1.529|0.755|19.145| 0.280|19.429|198.983| 5.875|-1.755|0.557|0.625
2957892746385613184|81.112 -24.916|2.535|-1.270|0.616|19.288| 0.284|19.570|205.452| 5.122|-2.297|0.364|0.915
2957939376851195648|81.040 -24.584|2.370|-1.690|1.034|16.485| 0.593|17.025|206.217| 0.786|-1.513|0.035|0.988
2957957553152859008|80.572 -24.693|2.718|-1.509|0.918|18.140| 0.480|18.580|205.467| 1.623|-1.537|0.081|0.918
2957988472617175296|80.962 -24.452|2.369|-1.635|0.686|19.656| 0.262|19.912|210.846| 6.062|-2.051|0.295|0.945
2958224528317636352|80.519 -23.872|2.381|-1.428|0.762|18.933| 0.370|19.277|212.195| 3.295|-2.034|0.268|0.912
2956309209123332096|79.700 -25.593|2.354|-1.523|0.719|18.884| 0.336|19.201|198.234| 6.095|-1.287|0.713|0.850
2957934046791323008|80.968 -24.695|2.561|-1.397|0.718|19.114| 0.302|19.408|211.871| 5.389|-1.455|0.295|0.914
2957939411210924288|81.054 -24.579|2.379|-1.636|1.202|14.722| 0.752|15.411|208.584| 0.678|-1.389|0.020|0.989
2957942911604024064|81.179 -24.516|2.257|-1.368|0.670|19.110| 0.309|19.411|198.111| 5.258|-1.591|0.329|0.702
2957988511276978304|80.988 -24.452|2.468|-1.628|1.055|16.158| 0.606|16.713|204.143| 0.719|-1.565|0.027|0.998
2958002663188448512|81.011 -24.188|2.395|-1.559|0.696|19.068| 0.321|19.378|202.983| 3.784|-1.549|0.192|0.970
2956228772976146688|79.907 -26.132|2.322|-1.590|0.906|18.224| 0.478|18.666|220.532| 6.262|-1.918|0.438|0.803
2957934119811250816|81.004 -24.689|2.308|-1.547|0.782|18.816| 0.402|19.194|208.747| 3.333|-1.830|0.194|0.981
2957939509989840128|81.002 -24.577|2.511|-1.905|0.930|18.305| 0.486|18.747|200.478| 2.170|-1.574|0.150|0.682
2957988781854793472|80.923 -24.474|2.558|-1.307|0.663|19.006| 0.331|19.324|207.760| 5.217|-2.215|0.253|0.930
2961824295027368192|80.948 -22.504|2.410|-1.893|0.638|19.356| 0.258|19.617|199.019|19.553|-1.328|0.343|0.675
2957082681193829760|82.143 -25.298|2.559|-1.621|0.838|19.277| 0.309|19.586|205.166| 8.214|-2.104|0.408|0.938
2957939617365674496|81.044 -24.564|2.303|-1.700|0.943|17.360| 0.535|17.806|209.237| 1.442|-1.632|0.077|0.968
2957943152121518464|81.224 -24.512|2.424|-1.669|0.637|19.246| 0.274|19.520|208.264| 5.956|-1.878|0.275|0.970
2957988816214543104|80.935 -24.465|2.595|-1.688|0.689|19.356| 0.274|19.618|202.315| 7.633|-1.611|0.308|0.925
2958005210109192832|80.760 -24.359|2.652|-1.561|0.990|17.077| 0.548|17.581|205.732| 0.850|-1.471|0.036|0.955
2957939651729096576|81.026 -24.559|2.442|-1.503|1.486|13.224| 0.901|14.209|207.789| 0.661|-1.117|0.007|0.909
2958229579198516480|80.534 -23.777|2.328|-1.587|1.018|16.525| 0.569|17.044|210.121| 0.765|-1.615|0.035|0.943
------------------------------------------------------------------------------------------------------------
