source_id,ra,dec,phot_g_mean_mag,redshift
5039828596378744704,18.776858,-26.336463,19.4,2.21
4984827176466535808,18.811923,-41.037930,19.2,1.91
5033562857569371904,18.822122,-27.206328,18.1,2.90
5039891856952729472,18.931442,-25.915626,18.7,2.14
5039950058053742336,18.988452,-25.316026,18.8,2.01
5033584474140229632,19.073593,-27.132359,18.4,1.70
4984536046403451008,19.161542,-42.126321,19.6,0.67
4983736705746711424,19.183429,-42.679340,19.3,0.53
5033537465722746624,19.189044,-27.153673,18.6,2.33
4983671898983927168,19.270290,-42.912304,20.0,1.79
4983671898983927168,19.270290,-42.912304,20.0,1.80
5039845467010343680,19.360702,-26.205772,19.9,2.63
4983712958871364096,19.416852,-42.630867,19.3,1.77
4983712958871364096,19.416852,-42.630867,19.3,1.77
4985003029607762688,19.488071,-41.055176,19.8,2.49
4985003029607762688,19.488071,-41.055176,19.8,2.49
5039658996710766976,19.501764,-26.201589,19.1,0.27
4914354253562213504,19.546512,-54.340635,18.6,1.78
4914080887484174720,19.557914,-55.139224,19.0,1.57
4984927472542840192,19.578598,-41.615414,19.6,2.40
4984927472542840192,19.578598,-41.615414,19.6,2.40
4914082193154313984,19.586276,-55.039472,19.3,0.73
4983694134030908416,19.600542,-42.784707,19.2,0.17
5039634811750131840,19.682189,-26.523993,18.5,0.10
5039762625681626624,19.740115,-25.922215,19.6,1.78
5039586291504278912,19.745042,-26.638355,19.4,2.27
5039648860587453440,19.766643,-26.206574,19.2,1.79
5039558704929650816,19.766929,-26.721663,19.2,1.67
4984922563397159424,19.773690,-41.711213,18.6,0.71
4984922563397159424,19.773690,-41.711213,18.6,0.71
4914384868089310976,19.800046,-54.084122,18.7,0.71
4914072675506710272,19.901001,-55.123181,19.1,1.61
5039584985833606016,19.928790,-26.549947,19.5,1.76
4984101326993631872,19.934405,-42.163219,19.4,2.54
4984101326993631872,19.934405,-42.163219,19.4,2.54
4914325464397792512,19.949302,-54.400395,18.6,0.48
4984959324020414336,20.125314,-41.274275,19.0,0.79
4983444059558877056,20.143993,-43.020765,19.5,1.59
4983444059558877056,20.143993,-43.020765,19.5,1.58
4984960015512057856,20.186678,-41.202197,19.2,1.72
4984960015512057856,20.186678,-41.202197,19.2,1.72
